,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
652,full stack developer,bonami software,"['gurgaon', 'noida']",500000.0,1000000.0,750000.0,"full time, permanent",2,4,b.tech/b.e.,mca,Not Specified,"['backend development', 'backend programming language', 'data analytics', 'data science', 'data structures', 'django', 'django framework', 'flask', 'full stack developer', 'machine learning', 'orm', 'python', 'software development', 'software engineering', 'web development']",it services and consulting,engineering - software and qa,software development,29-08-2024,5,1749,4.1
653,data platform engineer,samson controls,['pune'],,,,"full time, permanent",2,5,Any Graduate,any postgraduate,Not Specified,['python'],industrial automation,engineering - software and qa,software development,26-08-2024,1,2070,3.6
654,full stack developer,smurk it,['chennai'],,,,"full time, permanent",5,10,Any Graduate,Not Specified,Not Specified,"['django', 'git', 'html/css', 'python framework', 'sql', 'svn']",it services and consulting,engineering - software and qa,software development,26-08-2024,1,174,2.3
655,full stack developer,bridge global,['kochi'],800000.0,1500000.0,1150000.0,"full time, permanent",5,10,Any Graduate,Not Specified,Not Specified,"['agile', 'django rest framework', 'djnago', 'mysql', 'postgres', 'python', 'unit testing']",it services and consulting,engineering - software and qa,software development,29-08-2024,3,119,4.2
656,full stack developer,sab paisa,['new delhi'],,,,"full time, permanent",4,5,Any Graduate,any postgraduate,ph.d/doctorate,"['css', 'flask', 'html', 'javascript', 'kafka', 'nosql databases', 'python', 'rabbitmq', 'restful apis', 'sql']",banking,engineering - software and qa,software development,31-08-2024,,200,4.4
657,software development - other,s&p global market intelligence,['gurgaon'],,,,"full time, permanent",7,10,b.tech/b.e.,mca,Not Specified,"['aws', 'microservices', 'object oriented programming', 'postgresql', 'python development', 'rabbit', 'sql', 'unit testing']",it services and consulting,engineering - software and qa,software development,29-08-2024,1,236,4.2
658,software development - other,legasis services,['pune'],1500000.0,2000000.0,1750000.0,"full time, permanent",7,10,bca in computers,mca,Not Specified,"['ai platform', 'azure', 'python development', 'python framework', 'python testing']",legal,engineering - software and qa,software development,29-08-2024,1,97,3.4
659,software development - other,yatnam technologies,['kochi'],,,,"full time, permanent",1,6,Any Graduate,any postgraduate,Not Specified,"['apache', 'html', 'javascript', 'jquery', 'mysql', 'project management', 'python', 'sql', 'testing tools', 'xml']",it services and consulting,engineering - software and qa,software development,28-08-2024,1,768,
660,back end developer,excellon software,['pune'],,,,"full time, permanent",3,6,b.tech/b.e.,Not Specified,Not Specified,"['css', 'html', 'javascript', 'python', 'python development', 'react.js', 'tableau']",software product,engineering - software and qa,software development,29-08-2024,5,837,4.2
661,software development - other,ltimindtree,['pune'],1000000.0,1500000.0,1250000.0,"full time, permanent",7,12,Any Graduate,Not Specified,Not Specified,"['mongo db', 'python', 'react', 'type script']",it services and consulting,engineering - software and qa,software development,01-09-2024,1,119,3.7
662,data platform engineer,no brain it solutions,['pune'],,,,"full time, permanent",4,6,Any Graduate,Not Specified,Not Specified,"['django', 'flask', 'oops', 'pyramid', 'python', 'python development', 'python framework']",it services and consulting,engineering - software and qa,software development,09-09-2024,1,162,3.5
663,it and information security - other,amigosec consulting,"['mumbai', 'navi mumbai', 'pune']",225000.0,350000.0,287500.0,"full time, permanent",1,2,b.tech/b.e.,mca,Not Specified,"['api integration', 'database', 'flask', 'numpy', 'pandas', 'python development', 'troubleshooting']",emerging technologies (cybersecurity),it and information security,it and information security - other,29-08-2024,1,710,
664,software development - other,united private cloud,"['bangalore', 'chennai', 'hyderabad', 'kolkata', 'mumbai', 'new delhi', 'pune']",,,,"full time, permanent",3,8,Any Graduate,mca,Not Specified,"['automation', 'javascript', 'linux', 'open source', 'python', 'rdbms', 'sap', 'unix', 'vmware', 'xml']",it services and consulting,engineering - software and qa,software development,10-08-2024,1,1081,
665,software development - other,owfis jobpe technologies,"['ahmedabad', 'bangalore', 'chennai', 'delhi', 'hyderabad', 'kolkata', 'mumbai', 'pune']",1100000.0,1600000.0,1350000.0,"full time, permanent",2,6,Any Graduate,Not Specified,Not Specified,"['boto', 'boto3', 'celery', 'cli', 'django', 'flask', 'gunicorn', 'iss', 'jinja', 'jinja 2', 'jupyter notebook', 'mako', 'matplotlib', 'nginx', 'numpy', 'orm', 'pandas', 'pyramid', 'python development', 'python flask', 'python framework', 'python web framework', 'scikit-learn', 'scipy', 'software engineering', 'spacy', 'sqlalchemy', 'tornado', 'web framework']",it services and consulting,engineering - software and qa,software development,04-09-2024,5,3935,4.4
666,it network - other,corbus,['noida'],50000.0,70000.0,60000.0,"full time, permanent",4,5,Any Graduate,Not Specified,Not Specified,"['django', 'django framework', 'flask', 'python development', 'python framework', 'react.js']",it services and consulting,engineering - hardware and networks,it network,01-09-2024,1,148,3.6
667,full stack developer,moprens,['pune'],,,,"full time, permanent",3,8,Any Graduate,any postgraduate,ph.d/doctorate,"['alchemy', 'api', 'database', 'design patterns', 'django', 'microservices architecture', 'nodejs architect', 'nodejs framework', 'postgres', 'programming', 'pytest', 'python', 'rest', 'restful apis', 'sql']",it services and consulting,engineering - software and qa,software development,29-08-2024,,905,
